table;values;distinct_values;mean_cardinality;avg_cell_len;avg_tableid;avg_colid;avg_rowid
cocoa_main_tokenized;8314523826;645008253;12.890569674617792;9.08744661043924;73259155.732528;4.8692540024239745;111.40470313386771
gittables_main_tokenized;1588021298;97488582;16.28930553118518;12.468851436021483;849482.2992762141;18.848093896911955;476.73429396977775
main_tokenized;8314523826;645008253;12.890569674617792;9.08744661043924;73259155.732528;4.8692540024239745;111.40470313386771
open_data_main_tokenized;799930934;19776045;40.44948997638304;7.986371162138355;9939.454180108005;267.5812127663011;1058475.1833108694
table;values;distinct_values;mean_cardinality;avg_cell_len;avg_tableid;avg_colid;avg_rowid
cocoa_main_tokenized;8314523826;645008253;12.890569674617792;9.08744661043924;73259155.732528;4.8692540024239745;111.40470313386771
table;values;distinct_values;mean_cardinality;avg_cell_len;avg_tableid;avg_colid;avg_rowid
gittables_main_tokenized;1588021298;97488582;16.28930553118518;12.468851436021483;849482.2992762141;18.848093896911955;476.73429396977775
table;values;distinct_values;mean_cardinality;avg_cell_len;avg_tableid;avg_colid;avg_rowid
main_tokenized;8314523826;645008253;12.890569674617792;9.08744661043924;73259155.732528;4.8692540024239745;111.40470313386771
table;values;distinct_values;mean_cardinality;avg_cell_len;avg_tableid;avg_colid;avg_rowid
open_data_main_tokenized;799930934;19776045;40.44948997638304;7.986371162138355;9939.454180108005;267.5812127663011;1058475.1833108694
